Date,Time,Project,Details
2021-06-04,0.25,Workout,3 * (3 Pullups -> Pushups(16 Reg/16 Tri/16 Wide) -> Situps (16/16/16) -> 1min rest)
2021-06-04,0.5,Workout,Running 20m (25s run/35s walk) + Walk 10m
2021-06-04,0.5,Books,Min Jin Lee - Free Food For Millionaires
2021-06-03,0.25,Meditate,5m40s
2021-06-03,0.5,Books,Min Jin Lee - Free Food For Millionaires
2021-06-03,1.5,Books,Min Jin Lee - Free Food For Millionaires
2021-06-01,0.25,Meditate,5m30s
2020-06-01,0.25,Cello,Practice
2021-06-01,0.5,Books,Walter Isaacson - The Innovators
2021-06-01,1.0,Sports,Ultimate Frisbee
2021-06-01,0.25,Workout,3 * (3 Pullups -> Pushups(16 Reg/15 Tri/15 Wide) -> 1min rest) + Situps (16/15/15)
2021-06-01,0.5,Workout,Running 30m (24s run/36s walk)
2021-06-01,0.5,Books,Walter Isaacson - The Innovators
2021-05-31,0.5,Books,Ken Liu - Paper Menagerie and Other Short Stories
2021-05-31,0.5,Books,Marcus Aurelius - Meditations
2020-05-31,0.75,Cello,Practice
2021-05-30,0.5,Books,Ken Liu - Paper Menagerie and Other Short Stories
2021-05-30,1.0,Cello,Practice
2021-05-29,0.5,Workout,Walking
2021-05-29,0.25,Workout,3 * (3 Pullups -> Pushups(15 Reg/15 Tri/15 Wide) -> 1min rest) + 3 * 15 Situps
2021-05-28,0.25,Workout,3 * (3 Pullups -> Pushups(15 Reg) -> 1min rest)
2021-05-28,0.5,Workout,Running 30m (23s run/37s walk)
2021-05-27,0.5,Books,Walter Isaacson - The Innovators
2021-05-27,0.5,Books,Walter Isaacson - The Innovators
2021-05-26,0.5,Books,Walter Isaacson - The Innovators
2021-05-25,0.25,Meditate,5m20s
2021-05-26,0.25,Workout,Pushups (14 Reg/13 Tri/13 Wide) + 51 Jumping Jacks + 21 Situps
2021-05-26,0.5,Workout,Running 30m (22s run/38s walk) + 1:30m walk
2021-05-26,0.5,Books,Walter Isaacson - The Innovators
2021-05-24,0.25,Books,Ken Liu - Paper Menagerie and Other Short Stories
2021-05-25,0.5,Books,Walter Isaacson - The Innovators
2021-05-25,0.25,Workout,Pushups (13 Reg/13 Tri/13 Wide) + 50 Jumping Jacks + 20 Situps
2021-05-25,0.5,Books,Walter Isaacson - The Innovators
2021-05-24,0.25,Workout,Pushups (13 Reg/13 Tri/12 Wide)
2021-05-24,0.5,Workout,Running 30m (21s run/39s walk) + 3m walk
2021-05-24,0.25,Books,Ken Liu - Paper Menagerie and Other Short Stories
2021-05-24,0.5,Books,Walter Isaacson - The Innovators
2021-05-23,0.25,Workout,Pushups (13 Reg/12 Tri/12 Wide)
2021-05-21,0.5,Books,Walter Isaacson - The Innovators
2021-05-21,0.5,Books,Walter Isaacson - The Innovators
2021-05-20,0.25,Workout,Pushups (12 Reg/12 Tri/12 Wide)
2021-05-20,0.5,Workout,Walking
2021-05-20,0.5,Books,Cixin Liu - The Three-Body Problem
2021-05-19,1.0,Books,Cixin Liu - The Three-Body Problem
2021-05-19,0.5,Books,Cixin Liu - The Three-Body Problem
2021-05-19,0.25,Workout,Pushups (12 Reg/12 Tri/11 Wide)
2021-05-19,0.5,Books,Cixin Liu - The Three-Body Problem
2021-05-18,0.5,Books,Brian Christian - Algorithms to Live By
2021-05-18,0.5,Workout,Running 30m (20s run/40s walk)
2021-05-18,0.25,Workout,Pushups (12 Reg/11 Tri/11 Wide)
2021-05-18,0.5,Books,Brian Christian - Algorithms to Live By
2021-05-17,0.25,Reflection,Entry for today 
2021-05-17,1.5,Books,Brian Christian - Algorithms to Live By
2021-05-17,0.5,Workout,Running 22m (30s run/30s walk) + 8m walk
2021-05-17,0.25,Workout,Pushups (11 Reg/11 Tri/11 Wide)
2021-05-17,0.5,Books,Brian Christian - Algorithms to Live By
2021-05-17,0.5,Books,Brian Christian - Algorithms to Live By
2021-05-16,0.25,Workout,Pushups (11 Reg/11 Tri/10 Wide)
2021-05-16,0.25,Reflection,Entry for today 
2021-05-16,0.25,Reflection,Entry for yesterday
2021-05-15,1.0,Cello,Warmup and old poppers
2021-05-15,0.25,Workout,Pushups (11 Reg/10 Tri/10 Wide)
2021-05-14,0.25,Workout,Pushups (10 Reg/10 Tri/10 Wide)
2021-05-14,0.5,Sports,Ultimate Frisbee
2021-05-13,2.00,Cello,GMYS
2021-05-12,0.5,Workout,Running
2021-05-12,0.25,Workout,Pushups (10 Reg/10 Tri/9 Wide) + 51 JJ
2021-05-11,0.5,Books,Henry David Thoreau - Walden
2021-05-11,0.25,Workout,Pushups (10 Reg/10 Tri/8 Wide)
2021-05-11,0.5,Workout,Running
2021-05-11,0.5,Books,Henry David Thoreau - Walden
2021-05-10,0.5,Books,Henry David Thoreau - Walden
2021-05-10,0.5,Books,Henry David Thoreau - Walden
2021-05-10,0.25,Workout, Pushups (10 Reg/10 Tri/7 Wide)
2021-05-10,0.25,Workout,Jogging
2021-05-09,0.25,Workout,Pushups (10 Reg/10 Tri/6 Wide) + 50 JJ + Pistol Squats
2021-05-08,0.25,Workout,Pushups (10 Reg/10 Tri/5 Wide)
2021-05-08,1.25,Cello,Faure - Pavane
2021-05-07,0.25,Workout,Pushups (10 Reg/10 Tri/4 Wide)
2021-05-06,0.25,Workout,Pushups (10 Reg/10 Tri/3 Wide)
2021-05-05,0.75,Workout,Walking
2021-05-04,0.5,Workout,Jogging/Walking
2021-05-04,0.25,Workout,Pushups (10 Reg/9 Tri/3 Wide) + 50 JJ + Squats
2021-05-03,1.0,Books,Henry David Thoreau - Walden
2021-05-03,0.25,Reflection,Entry for yesterday and today
