Date,Time,Project,Details
2021-05-26,0.5,Competitive Programming,USACO Guard Mark
2021-05-26,1.0,Discrete,2.5 + 2.5 Problemset to 21
2021-05-24,2.0,Discrete,2.3 - 2.5 Reading
2021-05-24,1.0,Competitive Programming,USACO Marathon & Piggyback
2021-05-23,2.0,Discrete,2.3 Reading
2021-05-21,1.0,Discrete,Exercise Set 2.2
2021-05-20,1.0,Discrete,Exercise Set 2.2
2021-05-20,0.5,Discrete,Exercise Set 2.2
2021-05-18,0.5,Discrete,Example 2.27 - Exercise Set 2.2
2021-05-17,0.5,Discrete,2.2 - Example 2.27
2021-05-16,1.5,Discrete,2.1 Problemset
2021-05-14,0.25,Discrete,1.4 Problemset
2021-05-13,0.5,Discrete,Problemset
2021-05-13,1.75,Discrete,Problemset
2021-05-11,1.25,Discrete,Got to 1.3
2021-05-11,0.5,Discrete,Finished 1.1 and started 1.2 - Sets
2021-05-09,1.5,Shengming,Worked on timeline
2021-05-04,1.0,Shengming,Rust SQLite + SVG
2021-05-01,2.0,Shengming,Redesign
2021-05-01,1.0,Shengming,Looking into V-OS Timekeeping (Log)
